userid,srl_s_1,srl_s_2,srl_s_3,srl_s_4,srl_s_5,srl_s_6,srl_s_7,srl_s_8,srl_s_9,srl_s_10,srl_s_11,srl_s_12,srl_s_13,srl_s_14,srl_s_15,srl_s_16,srl_s_17,srl_s_18,srl_s_19,srl_s_20,srl_s_21,srl_s_22,srl_s_23,srl_s_24,srl_s_25,srl_s_26,srl_s_27,srl_s_28,srl_s_29,srl_s_30,srl_s_31,srl_s_32,srl_s_33,srl_s_34,srl_s_35,srl_s_36,srl_s_37,srl_s_38,srl_s_39,srl_s_40,srl_s_41,srl_s_42,srl_s_43,srl_s_44,srl_s_45,srl_s_46,srl_s_47,srl_s_48,srl_s_49,srl_s_50
b64ce7758b9f7e58f1ad8bbcf7811e7d,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,1.0,4.0,5.0,5.0,4.0,5.0,5.0,1.0,4.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0
0cebfa477ed3e2e0c5a3f9aa96c23698,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
deab088838618d0f80db74ae4a277269,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
0a715a568a054d7996fcbcbf17b36551,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,4.0,3.0,3.0,4.0
ca7f48cb0d61ed7c967adf1a0010367e,5.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,2.0,5.0,3.0,5.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0
2979bd5d5a584c2aa70f4a434412bc2b,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,2.0,1.0,5.0,4.0,3.0,3.0,3.0,4.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,4.0,2.0
d60df871c935791074fe3fc9c919b1e4,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0
f5fd1f70d1747238d53ec5ef722d68d7,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0
bebc49073c8a5def929612def946c281,4.0,3.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,5.0,3.0,2.0,2.0,1.0,4.0,5.0,2.0,5.0,5.0,3.0,2.0,3.0,4.0,4.0,2.0,1.0,1.0,5.0,1.0,5.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0
3d606cd38291c1e5941bc1c37f84f216,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
92c1e87578f7b00e26df9d0ad21c63da,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0
f65238cddaeec1be538e9c1a5990e48f,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,1.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0
5f1981994e777f8d76c45df9adfc8662,3.0,2.0,2.0,3.0,3.0,4.0,5.0,2.0,3.0,5.0,4.0,3.0,1.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,2.0,3.0,3.0,3.0,1.0,5.0,4.0,1.0,2.0,1.0,4.0,1.0,3.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0
481c56986ebae62c870b0da9bbafc5c6,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,2.0,4.0,5.0,5.0,2.0,2.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0
291a6ecd1a6e4a45fcb3f02c1cdcdf59,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,2.0,2.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,5.0,4.0
